zipcode,lat,lng,state,city,avg2019,avg2020
10025,40.798601,-73.966622,NY,New York,1086892.917,1051246.5
60657,41.940293,-87.646857,IL,Chicago,486745.25,489779
10023,40.775921,-73.982607,NY,New York,1419981.667,1471571
77494,29.740677,-95.829652,TX,Katy,339397.6667,343459.5
60614,41.922714,-87.649577,IL,Chicago,631084.1667,628772.75
77449,29.837572,-95.733754,TX,Katy,187889.0833,197463.0833
10002,40.715775,-73.986212,NY,New York,1007626.833,1021829.167
77084,29.827486,-95.65992,TX,Houston,185806.3333,195207
79936,31.776593,-106.296976,TX,El Paso,133595.75,139638.75
60640,41.972872,-87.662604,IL,Chicago,305530.75,312814.8333
11226,40.646448,-73.956649,NY,New York,824127.0833,792418.0833
10467,40.869953,-73.865746,NY,New York,422745.0833,443244.5833
78660,30.43963,-97.594687,TX,Pflugerville,272197.6667,292015.9167
94109,37.795388,-122.422453,CA,San Francisco,1163874.417,1172208.75
10016,40.745224,-73.978297,NY,New York,1065474.417,1011956.083
37013,36.052231,-86.632515,TN,Nashville,234830.3333,249332.9167
32162,28.914383,-81.98956,FL,The Villages,280930.5,292108.9167
60647,41.921215,-87.701028,IL,Chicago,457308.75,472763
11201,40.693682,-73.989693,NY,New York,1344989.833,1366793
11235,40.583949,-73.949096,NY,New York,612674.5,611137.9167
11375,40.720934,-73.846151,NY,New York,862910.1667,855674.9167
90250,33.914775,-118.348083,CA,Hawthorne,661107.1667,704661
78130,29.693556,-98.07285,TX,New Braunfels,240645.9167,249283.3333
37211,36.067234,-86.723711,TN,Nashville,272424.4167,287637.0833
10029,40.791763,-73.94397,NY,New York,674546.1667,538451.25
10009,40.726399,-73.978631,NY,New York,1077732.917,1043555.25
77573,29.503785,-95.0873,TX,League City,279261.1667,284407.6667
60618,41.946962,-87.702548,IL,Chicago,473510.0833,479869
77584,29.545041,-95.350629,TX,Pearland,275788.75,276759.1667
10011,40.742039,-74.00062,NY,New York,1950306,1764491.25
20002,38.905026,-76.983607,DC,Washington,700001.8333,718190.0833
10128,40.781432,-73.950013,NY,New York,1135661.917,1101728.667
28269,35.337313,-80.803472,NC,Charlotte,224356.5833,241214.75
78613,30.503949,-97.8242,TX,Cedar Park,332310.8333,348064.1667
77433,29.934371,-95.747578,TX,Cypress,286052.8333,295019.6667
78572,26.229223,-98.37545,TX,Mission,120173.75,127986.0833
30349,33.622488,-84.523908,GA,Riverdale,158587.5833,171082.3333
79912,31.848583,-106.534316,TX,El Paso,193292.75,201223.8333
75052,32.664953,-97.024692,TX,Grand Prairie,226935.5,238318.8333
94565,38.014576,-121.906255,CA,Pittsburg,574467,589136.1667
37042,36.568751,-87.416322,TN,Clarksville,157415.25,171719.3333
11206,40.701954,-73.942358,NY,New York,937618.5833,926271.75
73099,35.527369,-97.78251,OK,Yukon,176357.9167,184533.75
90046,34.10781,-118.362247,CA,Los Angeles,1412233.333,1469602.25
20009,38.919144,-77.037381,DC,Washington,633999.9167,642753.5
77429,29.998421,-95.66736,TX,Cypress,261091.9167,268971.5
78245,29.401093,-98.730806,TX,San Antonio,192502.3333,199890.25
77479,29.566996,-95.636016,TX,Sugar Land,379647.4167,382509.5833
10462,40.84328,-73.860389,NY,New York,182651.6667,200797.5
10456,40.829881,-73.90812,NY,New York,385695.4167,414232.5833
60613,41.956949,-87.654272,IL,Chicago,343376.25,345766.5
30044,33.922046,-84.065671,GA,Lawrenceville,215398,230323.5833
10019,40.765823,-73.987169,NY,New York,1334295.333,1269778.167
63376,38.798916,-90.606645,MO,Saint Peters,210968.8333,222159.9167
10003,40.731829,-73.989181,NY,New York,1422822.75,1248821.417
28277,35.052875,-80.817552,NC,Charlotte,356014.6667,375200.25
60625,41.973292,-87.700351,IL,Chicago,380245.75,390479.5833
30043,33.999276,-84.009512,GA,Lawrenceville,252886.4167,266508.25
11230,40.622164,-73.965105,NY,New York,1050826.417,1020055.75
11212,40.662936,-73.913029,NY,New York,475167.25,497809.25
77036,29.701847,-95.534537,TX,Houston,133536.6667,140331.6667
10463,40.880678,-73.90654,NY,New York,420939.8333,452945.5
60629,41.775868,-87.711496,IL,Chicago,204348.6667,212667.3333
11209,40.621982,-74.030324,NY,New York,966694.9167,930978.5833
30096,33.974292,-84.145426,GA,Duluth,248409.9167,262259.4167
11221,40.69134,-73.927879,NY,New York,1104036.167,1113525.167
7030,40.745268,-74.032021,NJ,Hoboken,716956.75,708891.4167
98052,47.68099,-122.120531,WA,Redmond,848432.9167,911661
30024,34.062971,-84.09077,GA,Suwanee,373392.0833,384050.9167
60610,41.906772,-87.632231,IL,Chicago,434546.8333,434492.75
78704,30.243032,-97.765081,TX,Austin,619242.1667,670654.25
77077,29.750233,-95.615383,TX,Houston,311874.1667,310518.5
85032,33.62592,-112.002503,AZ,Phoenix,267518.3333,298032
77379,30.040876,-95.528914,TX,Spring,262088.0833,269630.9167
75287,32.999309,-96.841688,TX,Dallas,333342.5,341537.5833
10024,40.798452,-73.974428,NY,New York,1697530.667,1605688.417
78666,29.880162,-97.966164,TX,San Marcos,231518.6667,244465.6667
